,drop_IEMG,drop_MAV,drop_SSI,drop_VAR,drop_RMS,drop_WL,drop_ZC,drop_SSC,drop_WAMP,drop_skew,drop_Acti,drop_AR,drop_HIST,drop_MDF
train,0.9926818181818182,0.9926818181818182,0.9926818181818182,0.9926818181818182,0.9926818181818182,0.9895454545454545,0.9984545454545455,1.0,0.9998636363636364,0.9989545454545454,0.9855,0.9998636363636364,0.9913636363636363,1.0
valid,0.9547272727272728,0.9547272727272728,0.9547272727272728,0.9547272727272728,0.9547272727272728,0.9570909090909091,0.9590909090909091,0.9641818181818181,0.9630909090909091,0.9618181818181818,0.952,0.9638181818181818,0.9543636363636364,0.9649090909090909
test,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9642181818181819,0.9632,0.9655272727272727,0.9675636363636364,0.9630545454545455,0.9697454545454546,0.9643636363636363,0.9608727272727273,0.9623272727272727
rest data,0.9833822091886608,0.9833822091886608,0.9833822091886608,0.9833822091886608,0.9833822091886608,0.9814271749755621,0.9921798631476051,0.9941348973607038,0.9941348973607038,0.9912023460410557,0.9726295210166178,0.9931573802541545,0.9814271749755621,0.9951124144672532
